scenario,branch,period,region,capacity_gw,clearing_price_usd_per_kw
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2040,row,46.57977075623695,176.4155083990938
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2025,ch,931.0,163.3239999993712
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2025,eu,22.0,291.071097905525
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2025,us,42.0,365.7254794464012
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2025,apac,110.0,263.4894614552298
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2025,af,3.4,310.05915820707435
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2025,row,293.0,305.7498298043427
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2030,ch,519.5658415747025,107.79092378801455
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2030,eu,29.11873290046185,220.21903573243665
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2030,us,52.64801739245746,246.38785834137195
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2030,apac,162.4147854455617,185.8287318033501
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2030,af,5.7379999992356865,275.6215619960915
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2030,row,35.938716706358605,224.11866578587657
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2035,ch,506.54029553130835,95.9088330065625
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2035,eu,32.026773895600705,191.49765892554905
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2035,us,52.6749646745596,188.39960180808066
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2035,apac,214.77607013221262,123.52392457972468
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2035,af,8.075999998939814,249.58293929452424
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2035,row,35.923112113925384,196.8970316119224
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2040,ch,505.43883876171947,86.65125720052637
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2040,eu,32.022890942060585,186.33226693546263
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2040,us,58.487603788087355,226.1334343139295
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2040,apac,243.58214237487442,155.28378672491158
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2040,af,10.41399999864431,211.22852086754946
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2040,row,35.91590402481305,180.6646335394842
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2025,ch,931.0,163.32399999985338
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2025,eu,22.0,283.5349011381488
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2025,us,42.0,284.57270566172105
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2025,apac,110.0,229.27296174328455
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2025,af,3.4,338.02652589172
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2025,row,293.0,312.9354774997439
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2030,ch,594.3832766786452,107.79092383034784
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2030,eu,17.64552596135377,207.90961646726234
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2030,us,21.497655780471813,222.8194590279564
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2030,apac,173.34170642171458,166.66042880680618
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2030,af,5.899999988205071,215.35408682911188
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2030,row,62.8203532226554,232.90703216195064
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2035,ch,587.9342597907887,95.90883300923
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2035,eu,21.654233789891315,174.93184536322426
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2035,us,21.49672076586018,187.2772214354995
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2035,apac,236.66896013096905,134.52077760026557
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2035,af,8.39999998363917,185.83852434168728
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2035,row,62.79804483990297,187.72518975179628
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2040,ch,590.2813298341215,86.65125720665445
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2040,eu,28.46273363609162,196.49857060346483
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2040,us,21.973102401728646,201.28892164728936
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2040,apac,245.0510615111766,152.13242140029627
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2040,af,10.899999979078936,224.82356357295532
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a030,2040,row,62.777054978714425,170.58495031911806
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2025,ch,931.0,163.32399999974643
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2025,eu,22.0,299.2650000286884
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2025,us,42.0,317.99236075614476
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2025,apac,110.0,272.4603984940353
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2025,af,3.4,367.753161975695
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2025,row,293.0,326.1381968420828
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2030,ch,453.6610007732316,107.79092380173964
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2030,eu,33.1094593971636,229.27604540180732
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2030,us,41.292539992540036,247.42186505490545
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2030,apac,173.34999635590873,149.30369830777792
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2030,af,5.899999988205115,244.46891403028226
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2030,row,77.58740563592485,231.58686069882387
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2035,ch,434.6342809962856,95.90883300254626
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2035,eu,42.70042844260525,205.10062808150727
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2035,us,41.29171999230847,228.24039685004414
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2035,apac,236.68991677022763,144.95698789314494
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2035,af,8.399999983639232,213.98710849313574
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2035,row,77.5778193612754,203.37632073946378
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2040,ch,434.5291951126645,86.65125720039293
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2040,eu,47.541475272112294,201.00799689898452
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2040,us,41.27201176171891,170.15743949042843
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2040,apac,278.1639365688624,141.18838872050023
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2040,af,10.899999979079016,190.0736144157045
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,2040,row,77.5646782411058,204.17385358332285
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2025,ch,931.0,163.32399999705316
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,2025,eu,22.0,244.56843086174146
