sequence,order_label,sweep,movement_percent,raw_best_response_move_percent,all_solves_acceptable,stable_count,final_status,solve_quality
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,36,16.47204201,41.18010503,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,37,17.8937813,111.8361331,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,38,26.80588426,167.5367766,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,39,35.44927732,121.0359173,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,40,32.93707421,72.92192387,True,0,not_converged,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,1,80,100,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,2,46.11983028,72.06223481,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,3,40.32223375,48.59104327,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,4,168.2691365,262.9205258,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,5,103.695961,109.440834,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,6,34.74761896,21.8881668,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,7,9.062473291,6.608624961,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,8,4.113131065,5.784090561,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,9,3.428370966,5.142556449,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,10,16.5577701,42.23622987,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,11,16.6658831,47.06444908,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,12,19.88459215,46.4706154,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,13,20.71025269,45.61311957,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,14,19.65502065,50.78737948,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,15,15.36882254,34.63320134,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,16,13.49497782,26.71052687,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,17,10.66119727,16.02631612,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,18,88.23031451,220.5876332,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,19,15.44638456,81.28589189,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,20,15.25710226,51.91413072,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,21,15.31556727,38.508162,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,22,12.88612407,23.10489813,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,23,9.949744702,15.58890293,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,24,7.300689063,12.86322267,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,25,5.178918699,11.22920883,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,26,3.586454548,8.323241853,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,27,2.439334652,4.994092148,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,28,1.909454315,4.773635787,True,0,converged_after_continuation,no_saved_solve_failure_flag
eu-us-af-row-apac-ch,EU–US–AF–ROW–APAC–CH,29,1.889681267,4.724203167,True,0,converged_after_continuation,no_saved_solve_failure_flag
